,proposals,votes for,votes against,total votes
0,"[EP 5.14] [Executable] Endowment permissions to karpatkey - ... Aug 24th, 2024 ",1.14M ,6.78K ,1.37M 151 addresses 
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
